Station,Entry_Exit,Trip,Month,Year
Ashfield Station,Entry,240134,12,2024
Ashfield Station,Exit,234519,12,2024
Asquith Station,Entry,24230,12,2024
Asquith Station,Exit,21426,12,2024
Auburn Station,Entry,315195,12,2024
Auburn Station,Exit,292578,12,2024
Banksia Station,Entry,30814,12,2024
Banksia Station,Exit,27231,12,2024
Bankstown Station,Entry,58321,12,2024
Bankstown Station,Exit,59007,12,2024
Bardwell Park Station,Entry,23040,12,2024
Bardwell Park Station,Exit,21106,12,2024
Beecroft Station,Entry,26086,12,2024
Beecroft Station,Exit,25005,12,2024
Belmore Station,Entry,25,12,2024
Belmore Station,Exit,25,12,2024
Berala Station,Entry,40402,12,2024
Berala Station,Exit,37575,12,2024
Berowra Station,Entry,22322,12,2024
Berowra Station,Exit,20452,12,2024
Beverly Hills Station,Entry,43269,12,2024
Beverly Hills Station,Exit,37897,12,2024
Bexley North Station,Entry,28794,12,2024
Bexley North Station,Exit,26018,12,2024
Birrong Station,Entry,8455,12,2024
Birrong Station,Exit,8389,12,2024
Blacktown Station,Entry,345192,12,2024
Blacktown Station,Exit,347650,12,2024
Bondi Junction Station,Entry,557785,12,2024
Bondi Junction Station,Exit,544445,12,2024
Burwood Station,Entry,474110,12,2024
Burwood Station,Exit,481405,12,2024
Cabramatta Station,Entry,177923,12,2024
Cabramatta Station,Exit,174827,12,2024
Campbelltown Station,Entry,121373,12,2024
Campbelltown Station,Exit,118485,12,2024
Campsie Station,Entry,91,12,2024
Campsie Station,Exit,86,12,2024
Canley Vale Station,Entry,51356,12,2024
Canley Vale Station,Exit,45438,12,2024
Caringbah Station,Entry,49728,12,2024
Caringbah Station,Exit,46086,12,2024
Carlton Station,Entry,55654,12,2024
Carlton Station,Exit,50006,12,2024
Carramar Station,Entry,12501,12,2024
Carramar Station,Exit,11018,12,2024
Casula Station,Entry,7765,12,2024
Casula Station,Exit,6897,12,2024
Central Station,Entry,1668865,12,2024
Central Station,Exit,1723793,12,2024
Chatswood Station,Entry,755727,12,2024
